KEY,English,Chinese-Traditional
SinglePlayer,SinglePlayer,單人模式
FBLogin,FB Login,FB登入
Setting,Setting,設定
Tutorial,Tutorial,教學模式
Music,Music,音樂
Sound,Sound,音效
Language,Language,語言
English,English,英文
Chinese-Traditional,Chinese-Traditional,中文
Confirm,Confirm,確定
Cancel,Cancel,取消
BuyAsk,Buy this level?,購買此關卡
SelectLevel,Please select level,請選擇關卡
SelectLevelDesc,Please select level,請選擇關卡
Level1Title,Sky,天空競賽
Level1Desc,Buy this level?,購買此關卡?
Level2Title,Tropic,熱帶森林
Level2Desc,Buy this level?,購買此關卡?
Level3Title,Candy,糖果王國
Level3Desc,Buy this level?,購買此關卡?
ErrorTitle,Error message,錯誤訊息
ErrorDescription,There is an error occure,發生錯誤
CharacterSelection,Character selection,角色選擇
Equip,Equip,道具裝備
ItemFull,Equipments are full,裝備已滿
ItemFullDesc,Max equipments are 5,裝備最大數量為5
ItemEquipable,Equipable,裝備
ItemEquipped,Equipped,已裝備
Store,Store,商店
Purchased,Purchased,已購買
Buy, Buy,購買
Get,Get,取得
Item,Item,道具
CoinPack,CoinPack,金幣
Coin,Coin,金幣
Character,Character selection,角色
MaxReach,Max out,已達上限
Select,Select,選擇
Selected,Selected,已選擇
NotEnoughFunds,No enough funds,貓幣不足
BuyError,Purchase error,購買時發生錯誤
BuyFullGame,Buy full game,購買完整遊戲
BuyFullGameDesc,USD0.99\nUnlock all level and ad,USD0.99\n解鎖全部關卡&移除廣告
CatEnergy,Cat energy,貓糧
CatEnergyDesc,Increase player's energy,增加玩家能量
CatCookieBig,Cat cookie,貓餅乾
CatCookieBigDesc,Recover 3 HP for player,玩家 HP+3
CatCrown,Cat crown,貓皇冠
CatCrownDesc,Enlarge player and invulnerable for 3 seconds,"角色變大, 3秒無敵狀態"
CatMagnet,Cat magnet,貓磁鐵
CatMagnetDesc,Fish bone and coin automatic fly toward player,5秒內魚骨頭和貓金幣自動吸附 
CatShield,Cat shield,貓盾牌
CatShieldDesc,Block enemies for 5 times,防禦障礙物攻擊5次
